"ID","EstablishmentID","CountyID","RCode","RCodeDesc","EstType","PremiseName","PermiseStreetNo","PremiseStreet","PremiseExtraAddrLine","PremiseCity","PremiseState","PremiseZip","InspectionIntervalDays","IsPayFee","IsStateOwned","Status","WaterProvider","SewageProvider","IsBonded","RenewalStatus","PermitPrinted","Language","RiskType","MenuType","IsCaterer","IsDriveThru","IsTrucksOnly","Area","MailAppIDDesc","MailPermitIDDesc","HoursOfOperation","DaysOfOperation","MonthsOfOperation","opening_date","renewal_sent_date","renewal_received_date","permit_print_date","permit_expiration_date","next_inspection_date","bond_expiration_date","Quantity1","Quantity1Unit","Quantity2","Quantity2Units","latitude","longitude","comments","TotalFeeAmt","PermitFeeAmt","InspectionFeeAmt","VarianceGranted","FollowUpDate"
"1","14595","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","BAKERY","KERNS KITCHEN INC","2420","AMPERE DRIVE","","LOUISVILLE","KY","40299","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","3","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-12-11 13:27:53","2017-12-11 00:00:00","2018-12-31 00:00:00","2017-05-20 00:00:00","","0","N/A","10000","SQ FEET","38.2185900","-85.5670900","","200.00","200.00",".00","",""
"2","14601","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","BAKERY","KRISPY KREME DOUGHNUT CORP","3920","S 7TH ST RD","","LOUISVILLE","KY","40216-4193","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","2","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-12-20 11:39:00","2017-12-20 00:00:00","2018-12-31 00:00:00","2017-11-05 00:00:00","","0","N/A","4342","SQ FEET","38.1159300","-85.4829000","","160.00","160.00",".00","",""
"3","14607","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","PRODUCE STORAGE WAREHOUSE/REPACKER","KY. MUSHROOM CO. OF LOUISVILLE","4601","JENNINGS LANE UNIT #30","LOUISVILLE PRODUCE TERMINAL","LOUISVILLE","KY","40218","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2018-01-04 12:02:04","2018-01-04 00:00:00","2018-12-31 00:00:00","2018-07-12 00:00:00","","0","N/A","1875","SQ FEET","38.1892200","-85.6841000","","160.00","160.00",".00","",""
"4","14615","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER","DARE TO CARE - SENIOR COMMODITIES","3360","COMMERCE CENTER PLACE","","LOUISVILLE","KY","40211","360","YES","YES","ACTIVE","PUBLIC","PUBLIC","N/A","RCVD","PRINTED","ENGLISH","5-LOW","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-11-20 12:16:04","2017-11-20 00:00:00","2018-12-31 00:00:00","2017-04-23 00:00:00","","0","N/A","18000","SQ FEET","38.2218600","-85.8116500","","200.00","200.00",".00","",""
"5","14621","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER","SMITHFIELD DIRECT, LLC","2522","PLANTSIDE DR","","LOUISVILLE","KY","40299","1080","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","3","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-12-05 09:12:20","2017-12-05 00:00:00","2018-12-31 00:00:00","2015-11-01 00:00:00","","0","N/A","15000","SQ FEET","38.2079100","-85.5604500","","200.00","200.00",".00","",""
"6","14622","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER","AMERICAN COLD STORAGE - LOUISVILLE DIVISION","607","INDUSTRY ROAD","","LOUISVILLE","KY","40208","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-11-20 13:31:44","2017-11-20 00:00:00","2018-12-31 00:00:00","2016-12-08 00:00:00","","0","N/A","177000","SQ FEET","38.2190200","-85.7726900","","600.00","600.00",".00","",""
"7","14644","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","GENERAL FOOD MANUFACTURER/PROCESSOR","BLENDEX COMPANY","11208","ELECTRON DR","","LOUISVILLE","KY","40299","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-11-07 13:38:54","2017-11-07 00:00:00","2018-12-31 00:00:00","2016-03-06 00:00:00","","0","N/A","72960","SQ FEET","38.2013000","-85.5519300","","400.00","400.00",".00","",""
"8","14647","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","GENERAL FOOD MANUFACTURER/PROCESSOR","BLOEMER FOOD SALES CO","925","S 7TH ST","","LOUISVILLE","KY","40203","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","N/A","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","PREMISE","PREMISE","","","","","2017-10-16 00:00:00","2017-12-05 09:39:10","2017-12-05 00:00:00","2018-12-31 00:00:00","2016-12-05 00:00:00","","0","N/A","1000","SQ FEET","38.2419700","-85.7640800","","120.00","120.00",".00","",""
"9","14648","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","BAKERY","KELLOGG'S SNACKS LOUISVILLE BAKERY","2287","RALPH AVENUE","","LOUISVILLE","KY","40216","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","N/A","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-12-04 14:33:42","2017-12-04 00:00:00","2018-12-31 00:00:00","2016-03-14 00:00:00","","0","N/A","200000","SQ FEET","38.2063300","-85.8020800","","600.00","600.00",".00","",""
"10","14672","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","PRODUCE PROCESSOR","A J PASSAFIUME & SON INC","4443","POPLAR LEVEL RD","","LOUISVILLE","KY","40213","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","N/A","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-11-03 16:48:06","2017-11-03 00:00:00","2018-12-31 00:00:00","2017-03-24 00:00:00","","0","N/A","6200","SQ FEET","38.1133400","-85.4212400","","200.00","200.00",".00","",""
"11","14674","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","PRODUCE PROCESSOR","PAUL'S FRUIT MARKET- UNIT 48 & 50, LOU. PROD","4601","JENNINGS LANE","","LOUISVILLE","KY","40218","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","1-HIGH","UNKNOWN","NO","NO","NO","","OWNER","BILLING","","","","","2017-10-16 00:00:00","2017-11-20 13:32:35","2017-11-20 00:00:00","2018-12-31 00:00:00","2018-08-09 00:00:00","","0","N/A","5000","SQ FEET","38.1892500","-85.6834200","","160.00","160.00",".00","",""
"12","14677","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER","DAVIS COOKIE COMPANY","2522","WEST BROADWAY","","LOUISVILLE","KY","40211","1080","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","3","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-11-07 13:27:31","2017-11-07 00:00:00","2018-12-31 00:00:00","2020-10-28 00:00:00","","0","N/A","15000","SQ FEET","38.2492800","-85.7943400","","200.00","200.00",".00","",""
"13","14678","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","AMBIENT WAREHOUSE/DISTRIBUTOR/REPACKER","PEPSI AMERICANS KENTUCKIANA DIVISION","4008","CRITTENDEN DRIVE","","LOUISVILLE","KY","40209","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","RCVD","PRINTED","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","1992-09-22 00:00:00","2017-10-16 00:00:00","2018-01-04 14:53:48","2018-01-04 00:00:00","2018-12-31 00:00:00","2016-08-13 00:00:00","","0","N/A","120000","SQ FEET","38.1955600","-85.7511800","","500.00","500.00",".00","",""
"14","14679","255","615","FOOD PROCESSING OR STORAGE ESTABLISHMENT","GENERAL FOOD MANUFACTURER/PROCESSOR","DAWN FOOD PRODUCTS","6303","KENJOY DR","","LOUISVILLE","KY","40214","360","YES","NO","ACTIVE","PUBLIC","PUBLIC","NOT BONDED","SENT","N/A","ENGLISH","","UNKNOWN","NO","NO","NO","","OWNER","OWNER","","","","","2017-10-16 00:00:00","2017-12-04 10:31:02","2017-12-04 00:00:00","2018-12-31 00:00:00","2015-06-05 00:00:00","","0","N/A","80000","SQ FEET","38.1666600","-85.7586700","","400.00","400.00",".00","",""
