id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;
2078;Central comfy close to Metro Laurie;2277;Nelia;;Le Plateau-Mont-Royal;45.530692363873285;-73.58587830231355;Private room;39;2;231;08/05/2018;2.83;1;318;
2843;Fabulous downtown room;2319;Gail;;Le Sud-Ouest;45.48441910802382;-73.57922526739941;Private room;29;1;105;07/01/2018;0.97;6;257;
14584;Enjoy this 1200sqft. luxury loft!;57358;Verona;;Le Plateau-Mont-Royal;45.541353289862705;-73.57813920010484;Entire home/apt;146;3;114;07/05/2018;1.35;1;330;
29059;Lovely studio Quartier Latin;125031;Maryline;;Ville-Marie;45.51888471122403;-73.56546265086847;Entire home/apt;94;3;238;02/05/2018;2.47;3;285;
29061;Maison historique - Quartier Latin;125031;Maryline;;Ville-Marie;45.52019501415401;-73.56421947505787;Entire home/apt;144;3;40;09/10/2017;0.53;3;341;
31847;Downtown/Airport room;2319;Gail;;Le Sud-Ouest;45.48357590823268;-73.57892192566109;Private room;30;1;110;31/03/2018;1.14;6;311;
34715;Chez Patrac ! Métro Beaubien;149769;Alain;;Rosemont-La Petite-Patrie;45.53839643283211;-73.60355431665592;Entire home/apt;140;3;4;12/09/2011;0.04;1;243;
36301; Romantic & peaceful Plateau  loft ;381468;Sylvie;;Le Plateau-Mont-Royal;45.52835986495054;-73.58342026836847;Entire home/apt;119;3;24;10/04/2018;0.66;5;258;
38118;Beautiful room  with a balcony in front of a parc;163569;Mitka;;Ville-Marie;45.52670779903009;-73.55917183821936;Private room;46;1;9;04/09/2017;0.11;3;365;
39503;Furnished rooms, great roommates, and a cat!;169530;Fiona;;Verdun;45.46253710922949;-73.56594460005643;Private room;21;10;8;16/02/2018;0.10;1;363;
41819;Comfortable 2 B/R Downtown Montreal;2319;Gail;;Le Sud-Ouest;45.48430391683625;-73.57938507406057;Entire home/apt;100;2;278;30/04/2018;2.94;6;280;
41859;WiFi-PRIVATE apartments Furn dwtn;182949;Zhang;;Mercier-Hochelaga-Maisonneuve;45.5457103183345;-73.53852992424574;Entire home/apt;37;30;16;05/08/2015;0.17;4;288;
